,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
150,Rare,Selena Gomez,815872,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
151,Boy With Luv (feat. Halsey),BTS,815558,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
152,Eastside (with Halsey & Khalid),benny blanco,814570,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
153,Modern Loneliness,Lauv,812068,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
154,Perfect,Ed Sheeran,803157,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
155,SAD!,XXXTENTACION,801012,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
156,I Like Me Better,Lauv,798255,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
157,Maniac,Conan Gray,795788,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
158,goosebumps,Travis Scott,793121,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
159,Jocelyn Flores,XXXTENTACION,788525,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
160,Piece Of Your Heart,MEDUZA,787892,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
161,July,Noah Cyrus,785646,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
162,Girls Like You (feat. Cardi B),Maroon 5,783104,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
163,Sweet but Psycho,Ava Max,776887,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
164,"thank u, next",Ariana Grande,774972,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
165,Aventura,Lunay,771560,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
166,No Judgement,Niall Horan,769628,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
167,VIBEZ,DaBaby,768019,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
168,Infeliz,Arcangel,765508,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
169,Boss Bitch,Doja Cat,763926,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
170,All of Me,John Legend,763493,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
171,Higher Love,Kygo,760980,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
172,Bellaquita - Remix,Dalex,760256,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
173,Live Off My Closet (feat. Future),Lil Baby,760058,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
174,Adicto (with Anuel AA & Ozuna),Tainy,752717,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
175,Que Tire Pa Lante,Daddy Yankee,751573,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
176,Better Now,Post Malone,751124,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
177,You Need To Calm Down,Taylor Swift,746784,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
178,Starboy,The Weeknd,746573,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
179,Dior,Pop Smoke,746403,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
180,Can We Kiss Forever?,Kina,745455,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
181,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,741159,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
182,Hate Me (with Juice WRLD),Ellie Goulding,738091,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
183,Takeaway,The Chainsmokers,737686,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
184,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,736755,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
185,QUE PRETENDES,J Balvin,736066,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
186,If I Can't Have You,Shawn Mendes,733662,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
187,I.F.L.Y.,Bazzi,731260,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
188,me & ur ghost,blackbear,727790,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
189,Filter,BTS,726284,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
190,Youngblood,5 Seconds of Summer,722797,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
191,Old Me,5 Seconds of Summer,720745,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
192,Never Really Over,Katy Perry,720217,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
193,Trampoline (with ZAYN),SHAED,720067,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
194,Truth Hurts,Lizzo,718368,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
195,Be Alright,Dean Lewis,717165,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
196,Quizas,Rich Music LTD,715899,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
197,bury a friend,Billie Eilish,715524,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
198,GOODMORNINGTOKYO!,TOKYOâ€™S REVENGE,714501,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
